name,brand,barcode,category,subcategory,calories,protein,carbs,fat,saturated_fat,fiber,sugar,sodium,serving_size_g,serving_description,ingredients,allergens,is_per_unit,is_verified,portions
Big Tasty with Bacon,McDonald's,,Fast Food,Burgers,876,49,52,53,22,3,11,1450,315,1 burger,"Large beef patty, sesame bun, bacon, Big Tasty sauce, lettuce, tomato, onions, cheese","Wheat, Milk, Sesame, Eggs",true,true,
Mayo Chicken,McDonald's,,Fast Food,Chicken,288,11,32,12,1.5,2,4,520,114,1 sandwich,"Mayo Chicken Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Vegetable Oil (Rapeseed), Yeast, Salt, Emulsifier (E481), WHEAT Gluten, Preservative (Calcium Propionate).

Chicken Patty: Chicken Breast Meat (45%), Water, WHEAT Flour, Vegetable Oil (Rapeseed, Sunflower), Modified Maize Starch, Salt, WHEAT Starch, Dextrose, Spices, Flavour Enhancers (Sodium Phosphates), Raising Agents (Diphosphates, Sodium Bicarbonate), WHEAT Gluten.

Lettuce: 100% Iceberg Lettuce.

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, Sugar, Free Range EGG Yolk, Modified Maize Starch, Salt, MUSTARD Flour, Thickener (Xanthan Gum), Antioxidant (Calcium Disodium EDTA).","Wheat, Eggs, Mustard",true,true,
Crispy Chicken Sandwich,McDonald's,,Fast Food,Chicken,470,26,45,20,3.5,2,7,1100,190,1 sandwich,"Crispy chicken fillet, potato bun, pickles, butter","Wheat, Milk",true,true,
Spicy Crispy Chicken Sandwich,McDonald's,,Fast Food,Chicken,530,27,46,26,4,2,7,1250,200,1 sandwich,"Spicy crispy chicken fillet, potato bun, pickles, spicy pepper sauce","Wheat, Milk",true,true,
Chicken McNuggets,McDonald's,,Fast Food,Chicken,259,13,15,16,2.5,1,0,500,96,6 pieces,"Chicken Breast Meat (57%), Water, Vegetable Oils (Sunflower, Rapeseed), WHEAT Flour, Coating (WHEAT Flour, Maize Flour, WHEAT Starch, Salt, Spices, Leavening Agents (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Paprika, Sunflower Oil), Modified Starch (Maize), Salt, Spices, Dextrose, Flavour Enhancers (Sodium Phosphates), Yeast Extract, Stabiliser (Sodium Tripolyphosphate).",Wheat,true,true,"[{""name"": ""1 piece"", ""calories"": 43, ""serving_g"": 16}, {""name"": ""3 pieces"", ""calories"": 130, ""serving_g"": 48}, {""name"": ""4 pieces"", ""calories"": 173, ""serving_g"": 64}, {""name"": ""6 pieces"", ""calories"": 259, ""serving_g"": 96}, {""name"": ""9 pieces"", ""calories"": 389, ""serving_g"": 144}, {""name"": ""20 pieces"", ""calories"": 864, ""serving_g"": 320}]"
Chicken Selects,McDonald's,,Fast Food,Chicken,345,24,18,20,2.5,1,0,720,117,3 pieces,"Chicken Breast Strips: Chicken Breast Meat (65%), Water, WHEAT Flour, Vegetable Oil (Sunflower, Rapeseed), Modified Maize Starch, Salt, Coating (WHEAT Flour, Maize Flour, WHEAT Starch, Salt, Spices, Paprika, Leavening Agents), Flavourings (contain CELERY), Dextrose, Spices, Stabiliser (Sodium Tripolyphosphate), WHEAT Gluten.

Fried in Vegetable Oil (Rapeseed, Sunflower).","Wheat, Celery",true,true,"[{""name"": ""1 piece"", ""calories"": 115, ""serving_g"": 39}, {""name"": ""3 pieces"", ""calories"": 345, ""serving_g"": 117}, {""name"": ""5 pieces"", ""calories"": 575, ""serving_g"": 195}]"
Chicken Legend,McDonald's,,Fast Food,Chicken,536,27,48,25,3.5,3,5,1050,210,1 sandwich,"Sourdough-Style Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, WHEAT Sourdough (WHEAT Flour, Water), Vegetable Oil, Sugar, Yeast, Salt, Emulsifiers.

Chicken Breast Fillet: Chicken Breast Meat (64%), Water, WHEAT Flour, Modified Maize Starch, Salt, Vegetable Oil, Spices, Yeast Extract, Natural Flavouring.

Cool Mayo: Rapeseed Oil, Water, Spirit Vinegar, Free Range EGG Yolk, Sugar, Modified Maize Starch, Salt, Herbs, Natural Flavouring.

Lettuce: 100% Batavia Lettuce.","Wheat, Eggs",true,true,
French Fries,McDonald's,,Fast Food,Sides,337,4,42,16,2.2,4,0,280,114,Medium,"Potatoes, Vegetable Oil (Sunflower, Rapeseed, in varying proportions), Dextrose (added at the beginning of the potato season). Prepared in the restaurants using a non-hydrogenated vegetable oil. Salt is added after cooking.",,true,true,"[{""name"": ""Small"", ""calories"": 228, ""serving_g"": 80}, {""name"": ""Medium"", ""calories"": 337, ""serving_g"": 114}, {""name"": ""Large"", ""calories"": 444, ""serving_g"": 150}]"
Mozzarella Dippers (3 pieces),McDonald's,,Fast Food,Sides,186,8,16,10,5,1,1,380,60,3 pieces,"Mozzarella cheese, breadcrumb coating","Wheat, Milk",true,true,
Hash Brown,McDonald's,,Fast Food,Breakfast,138,1,14,9,1,1,0,310,56,1 hash brown,"Potatoes (85%), Vegetable Oil (Sunflower, Rapeseed), Dehydrated Potato, Salt, Dextrose, Stabilisers (Diphosphates, Sodium Tripolyphosphate), Pepper Extract.",,true,true,
Side Salad,McDonald's,,Fast Food,Sides,15,1,2,0,0,1,2,10,80,1 salad,"Mixed leaves, cherry tomatoes",,true,true,
Carrot Bag,McDonald's,,Fast Food,Sides,16,0.3,3,0.1,0,1,2,25,40,1 bag,Carrot sticks,,true,true,
Fruit Bag,McDonald's,,Fast Food,Sides,34,0.4,8,0.1,0,1.2,7,2,80,1 bag,"Apple slices, grapes",,true,true,
Sausage & Egg McMuffin,McDonald's,,Fast Food,Breakfast,430,20,28,26,9,2,2,890,163,1 muffin,"English muffin, sausage patty, egg, cheese","Wheat, Milk, Eggs",true,true,
Bacon & Egg McMuffin,McDonald's,,Fast Food,Breakfast,295,17,27,12,4.5,2,2,750,137,1 muffin,"English muffin, bacon, egg, cheese","Wheat, Milk, Eggs",true,true,
Egg McMuffin,McDonald's,,Fast Food,Breakfast,286,17,28,11,5,2,2,730,137,1 muffin,"English muffin, egg, ham, cheese","Wheat, Milk, Eggs",true,true,
Double Sausage & Egg McMuffin,McDonald's,,Fast Food,Breakfast,565,28,29,38,14,2,2,1200,210,1 muffin,"English muffin, two sausage patties, egg, cheese","Wheat, Milk, Eggs",true,true,
Bacon Roll,McDonald's,,Fast Food,Breakfast,295,14,37,10,3.5,2,4,850,110,1 roll,"Soft White Roll: WHEAT Flour (Calcium, Iron, Niacin, Thiamin), Water, Yeast, Sugar, Rapeseed Oil, Salt, WHEAT Gluten.

Smoked Bacon: Pork Belly, Water, Salt, Dextrose, Smoke Flavouring, Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite).

Ketchup/Brown Sauce: Available upon request.",Wheat,true,true,
Pancakes & Syrup (3),McDonald's,,Fast Food,Breakfast,491,9,84,13,3,2,36,620,178,3 pancakes with syrup,"Pancakes (wheat flour, egg, milk), maple syrup","Wheat, Milk, Eggs",true,true,
Pancakes & Sausage,McDonald's,,Fast Food,Breakfast,578,16,84,20,6,2,36,870,220,3 pancakes with sausage,"Pancakes, maple syrup, sausage patty","Wheat, Milk, Eggs",true,true,
Breakfast Wrap,McDonald's,,Fast Food,Breakfast,465,20,33,28,10,2,2,1050,175,1 wrap,"Tortilla, sausage, egg, bacon, cheese, potato rosti","Wheat, Milk, Eggs",true,true,
Cheesy Bacon Flatbread,McDonald's,,Fast Food,Breakfast,355,17,28,19,8,1,3,890,120,1 flatbread,"Flatbread, bacon, cheese, egg","Wheat, Milk, Eggs",true,true,
Crispy Chicken & Bacon Salad,McDonald's,,Fast Food,Salads,298,27,8,17,4,2,4,890,260,1 salad,"Mixed leaves, crispy chicken, bacon, tomatoes, cheese","Wheat, Milk",true,true,
Grilled Chicken Salad,McDonald's,,Fast Food,Salads,133,22,4,3,1,2,3,480,205,1 salad,"Mixed leaves, grilled chicken, tomatoes, cucumber",,true,true,
The Chicken BBQ One (Wrap),McDonald's,,Fast Food,Wraps,500,25,48,23,6,3,8,1100,225,1 wrap,"Tortilla wrap, chicken, BBQ sauce, bacon, cheese, lettuce","Wheat, Milk",true,true,
The Spicy Veggie One (Wrap),McDonald's,,Fast Food,Wraps,420,12,52,18,5,5,6,950,200,1 wrap,"Tortilla, veggie dippers, spicy relish, lettuce, cheese","Wheat, Milk, Eggs",true,true,
McFlurry (Oreo),McDonald's,,Fast Food,Desserts,339,8,51,11,7,1,42,200,180,Regular McFlurry,"Soft Serve Ice Cream: MILK, Sugar, Cream (MILK), Glucose Syrup, Whey Powder (MILK), Emulsifier (E471), Stabilisers (E410, E412, E407), Natural Vanilla Flavouring.

Oreo Cookie Pieces: WHEAT Flour, Sugar, Vegetable Fats (Palm, Palm Kernel), Fat-Reduced Cocoa Powder, WHEAT Starch, Glucose-Fructose Syrup, Raising Agents (Sodium Bicarbonate, Ammonium Bicarbonate), Salt, Emulsifiers (SOYA Lecithin), Flavouring.","Milk, Wheat, Soya",true,true,
McFlurry (Maltesers),McDonald's,,Fast Food,Desserts,361,8,54,12,8,0.5,46,180,180,Regular McFlurry,"Soft serve ice cream, Maltesers pieces, Malteser sauce","Milk, Wheat, Barley",true,true,
McFlurry (Crunchie),McDonald's,,Fast Food,Desserts,368,7,56,12,8,0,48,170,180,Regular McFlurry,"Soft serve ice cream, Crunchie pieces, caramel sauce","Milk, Wheat, Barley",true,true,
Apple Pie,McDonald's,,Fast Food,Desserts,237,2,31,12,5,1,13,170,80,1 pie,"Apple filling, pastry crust (wheat flour, butter)","Wheat, Milk",true,true,
Chocolate Donut,McDonald's,,Fast Food,Desserts,256,4,32,12,5,1,14,220,74,1 donut,"Donut dough, chocolate icing","Wheat, Milk, Eggs, Soya",true,true,
Millionaire's Donut,McDonald's,,Fast Food,Desserts,325,4,40,16,8,1,22,210,86,1 donut,"Donut, caramel filling, chocolate topping, shortbread pieces","Wheat, Milk, Eggs, Soya",true,true,
Vanilla Milkshake (Medium),McDonald's,,Fast Food,Drinks,389,10,62,10,7,0,55,200,400,Medium shake,"Milk, vanilla syrup, whipped cream",Milk,true,true,
Chocolate Milkshake (Medium),McDonald's,,Fast Food,Drinks,403,10,66,10,7,1,57,210,400,Medium shake,"Milk, chocolate syrup, whipped cream",Milk,true,true,
Strawberry Milkshake (Medium),McDonald's,,Fast Food,Drinks,395,10,64,10,7,0,56,195,400,Medium shake,"Milk, strawberry syrup, whipped cream",Milk,true,true,
Soft Serve Cone,McDonald's,,Fast Food,Desserts,150,4,24,4,3,0,18,80,90,1 cone,"Soft serve ice cream, wafer cone","Milk, Wheat",true,true,
Sundae (Chocolate),McDonald's,,Fast Food,Desserts,290,6,47,8,5,1,40,130,175,1 sundae,"Soft serve ice cream, chocolate sauce",Milk,true,true,
Sundae (Toffee),McDonald's,,Fast Food,Desserts,298,6,49,8,5,0,42,150,175,1 sundae,"Soft serve ice cream, toffee sauce",Milk,true,true,
Original Recipe Chicken,KFC,,Fast Food,Chicken,150,11,7,9,2,0,0,420,57,1 piece,"Chicken (various cuts including thigh, drumstick, wing, breast). 

Original Recipe Coating: WHEAT Flour, Salt, Monosodium Glutamate, Spices (contains the secret blend of 11 herbs and spices), Dehydrated Garlic, Modified MILK Ingredients, Dried EGG White (EGG White, Baker's Yeast, Citric Acid).

Cooked in Canola Oil (with Dimethylpolysiloxane as an antifoaming agent).","Wheat, Milk, Eggs",true,true,"[{""name"": ""1 piece"", ""calories"": 150, ""serving_g"": 57}, {""name"": ""2 pieces"", ""calories"": 300, ""serving_g"": 114}, {""name"": ""3 pieces"", ""calories"": 450, ""serving_g"": 171}]"
Hot Wings,KFC,,Fast Food,Chicken,390,24,21,24,5,1,0,1140,136,6 pieces,"Chicken Wings.

Spicy Coating: WHEAT Flour, Salt, Spices (including Cayenne Pepper), Monosodium Glutamate, Garlic Powder, Modified Starch, Dextrose, Raising Agents, MILK Solids.

Cooked in Canola Oil.","Wheat, Milk",true,true,"[{""name"": ""3 pieces"", ""calories"": 195, ""serving_g"": 68}, {""name"": ""6 pieces"", ""calories"": 390, ""serving_g"": 136}, {""name"": ""10 pieces"", ""calories"": 650, ""serving_g"": 227}, {""name"": ""20 pieces"", ""calories"": 1300, ""serving_g"": 454}]"
Popcorn Chicken,KFC,,Fast Food,Chicken,285,17,18,16,3,1,0,750,90,Regular,"Chicken Breast Pieces, WHEAT Flour, Water, Salt, Spices, Modified Starch, Dextrose, Raising Agents (Sodium Bicarbonate, Sodium Acid Pyrophosphate), Garlic Powder, Flavour Enhancer (Monosodium Glutamate), MILK Solids, EGG.

Cooked in Canola Oil.","Wheat, Milk, Eggs",true,true,"[{""name"": ""Regular"", ""calories"": 285, ""serving_g"": 90}, {""name"": ""Large"", ""calories"": 475, ""serving_g"": 150}]"
Boneless Banquet,KFC,,Fast Food,Chicken,675,37,58,32,6,4,2,1650,280,1 meal,"2 fillets, regular popcorn chicken, regular fries, drink",Wheat,true,true,
Zinger Burger,KFC,,Fast Food,Burgers,450,22,40,22,3.5,2,5,1150,182,1 burger,"Zinger Fillet: Chicken Breast Fillet, WHEAT Flour, Water, Salt, Spices (including cayenne pepper), Modified Starch, Dextrose, Raising Agents, Garlic Powder, Flavour Enhancer (E621), MILK Solids.

Sesame Seed Bun: WHEAT Flour, Water, Sugar, Vegetable Oil, SESAME Seeds, Yeast, Salt, Emulsifiers.

Lettuce: Fresh Iceberg Lettuce.

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, EGG Yolk, Sugar, Salt, MUSTARD Flour, Stabiliser.","Wheat, Milk, Sesame, Eggs, Mustard",true,true,
Zinger Stacker,KFC,,Fast Food,Burgers,720,40,46,41,10,2,6,2100,290,1 burger,"Two spicy chicken fillets, burger bun, cheese, hash brown, supercharger sauce","Wheat, Milk, Eggs",true,true,
Tower Burger,KFC,,Fast Food,Burgers,620,28,52,32,5,3,6,1400,248,1 burger,"Original Recipe fillet, burger bun, hash brown, cheese, lettuce, mayo","Wheat, Milk, Eggs",true,true,
Fillet Burger,KFC,,Fast Food,Burgers,440,20,40,21,3,2,5,980,175,1 burger,"Original Recipe Fillet: Chicken Breast Fillet, WHEAT Flour, Salt, Spices (11 herbs and spices), Monosodium Glutamate, Dehydrated Garlic, Modified MILK Ingredients, Dried EGG White.

Sesame Seed Bun: WHEAT Flour, Water, Sugar, SESAME Seeds, Vegetable Oil, Yeast, Salt, Emulsifiers.

Lettuce: Fresh Iceberg Lettuce.

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, EGG Yolk, Sugar, Salt, MUSTARD Flour.","Wheat, Milk, Eggs, Sesame, Mustard",true,true,
Original Recipe Fillet,KFC,,Fast Food,Chicken,260,16,16,15,2.5,1,0,690,100,1 fillet,"Chicken breast fillet, Original Recipe coating",Wheat,true,true,
Zinger Fillet,KFC,,Fast Food,Chicken,275,17,17,16,2.5,1,0,850,100,1 fillet,"Chicken breast fillet, spicy Zinger coating",Wheat,true,true,
Mini Fillet Burger,KFC,,Fast Food,Burgers,280,14,28,12,2,1,4,580,110,1 burger,"Mini chicken fillet, bun, lettuce, mayo","Wheat, Eggs",true,true,
Mighty Bucket for One,KFC,,Fast Food,Chicken,1220,56,95,66,13,6,5,2800,450,1 bucket,"2 pieces chicken, fillet burger, regular popcorn chicken, regular fries, regular drink","Wheat, Eggs",true,true,
Chicken Fries,KFC,,Fast Food,Chicken,260,15,18,14,2,1,0,580,80,6 pieces,"Chicken breast strips, seasoned coating",Wheat,true,true,
Fries,KFC,,Fast Food,Sides,225,3,30,10,1.5,3,0,520,85,Regular,"Potatoes, Vegetable Oil, Seasoning (Salt, Paprika, Garlic Powder, Onion Powder, Spices). May contain: MILK, SOY.",,true,true,"[{""name"": ""Regular"", ""calories"": 225, ""serving_g"": 85}, {""name"": ""Large"", ""calories"": 340, ""serving_g"": 128}]"
Gravy (Regular),KFC,,Fast Food,Sides,72,2,9,3,0.8,0,1,420,100,Regular pot,"Chicken Stock, WHEAT Flour, Vegetable Oil, Salt, Chicken Fat, Sugar, Flavour Enhancers (E621, E635), Yeast Extract, Onion Powder, Spices, Caramelised Sugar, CELERY Extract, Colours (E150c, E150d).","Wheat, Celery",true,true,
Coleslaw (Regular),KFC,,Fast Food,Sides,138,1,11,10,1,2,9,180,100,Regular pot,"White Cabbage, Carrot, Onion, Mayonnaise Dressing (Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Maize Starch, Salt, MUSTARD Flour, Stabilisers, Preservative).","Eggs, Mustard",true,true,
Corn on the Cob (Regular),KFC,,Fast Food,Sides,150,4,24,5,1.5,2,6,10,130,1 cob,"Sweetcorn, butter",Milk,true,true,
Beans (Regular),KFC,,Fast Food,Sides,115,6,18,1,0.2,5,7,600,130,Regular pot,Baked beans in tomato sauce,,true,true,
Mashed Potato with Gravy,KFC,,Fast Food,Sides,130,3,18,5,1.5,2,1,580,120,Regular pot,"Mashed potato, chicken gravy","Milk, Wheat",true,true,
Krushems Oreo,KFC,,Fast Food,Desserts,295,6,44,10,6,1,37,180,250,1 Krushem,"Vanilla ice cream, milk, Oreo pieces","Milk, Wheat, Soya",true,true,
Krushems Maltesers,KFC,,Fast Food,Desserts,310,6,47,11,7,0.5,40,160,250,1 Krushem,"Vanilla ice cream, milk, Maltesers pieces","Milk, Wheat, Barley",true,true,
Rice Box Zinger,KFC,,Fast Food,Rice,510,22,62,19,3,3,5,1350,300,1 box,"Rice, Zinger fillet pieces, salsa, sour cream","Wheat, Milk",true,true,
